Location,Cost,Growth Potential,Crime Rate,Visibility,Parking,Near Target Community,Access to Public Transportation,Permits Required,Zoning Laws,Insurance Needed,Outdoor Play Area,Grooming Services,Population Age >65,Retired,Median Income of Population,Price of Near Competitors Premium,Near Office Building
New York,50.91150478,65.96530813,38.81630979,21.56238015,89.01188844,82.27598057,50.75564776,16.96663313,25.41653449,39.24337609,29.529114,36.49854877,89.01938806,0.169944733,74.81090854,8.199761301,21.6846831
Columbus,88.45044411,75.50841597,13.22387284,56.63346151,56.84632562,16.25231624,67.87053909,77.76354555,15.44392603,1.124769612,40.90985339,77.17719866,50.50860614,9.342591144,57.19130629,60.49290731,33.31067369
Sacramento,72.41930209,1.004290212,3.247178678,97.01352066,21.93580516,58.63961873,86.48265027,87.65176738,60.68504719,84.5325903,11.62747381,19.47986885,2.767988519,36.59179458,29.19615744,72.40716485,17.3867437
Milwaukee,53.87050119,2.220565217,36.0792788,66.48444787,14.09363131,43.67406289,68.28886542,63.64858681,96.14131566,34.89138016,28.02048851,82.48520581,16.53705356,21.59021001,37.87490103,62.8944393,15.0708909
San Antonio,81.87709523,34.60899632,32.98577479,5.994947283,11.1299467,28.8865133,73.36115879,64.66343729,43.81861521,88.75239461,24.57523012,18.79858221,28.91056539,98.41472958,8.484559564,58.97710378,48.95360909
Oklahoma City,24.6248122,55.4266434,77.99531523,54.50143654,10.69966033,73.76741986,71.16764887,13.67648623,99.19907382,6.083769345,6.20269443,43.03306359,62.17751955,23.10930921,48.51548039,96.64541269,52.09045175
Houston,35.13241603,54.05526204,22.1629623,99.47832799,1.094370814,53.06835086,23.11802734,1.669826313,14.69670098,74.11282246,49.54936,44.48337012,32.34751172,33.2927029,58.78380783,22.41665427,28.50159065
St. Louis,87.15237688,44.03284876,36.80215303,81.08506051,12.06985001,9.867808219,25.36658893,98.12525605,60.21058783,93.81531785,53.99510658,88.29608538,81.31328195,70.20877162,40.48568004,71.78560072,66.96126537
Philadelphia,1.979992498,68.86183132,84.56726814,58.79796803,88.74648461,63.14894424,11.00498807,14.0757794,94.38844377,62.99751385,64.78068422,20.9238678,97.82468719,97.25861056,82.08953038,15.36651156,26.98067063
Richmond,77.83869719,97.83928099,81.27689714,79.62510383,73.7282213,61.41034718,34.86612215,28.93008095,34.96429393,93.92169132,26.90733134,58.25644173,37.07642126,68.05496024,38.88356646,23.74466834,71.82107593
Chicago,1.38967996,12.10295661,26.07002355,30.17903768,87.56341602,96.44210228,63.51854766,73.57737424,81.53757158,69.94747973,67.2190577,68.82333129,89.9503872,26.90320863,23.45039864,62.75514914,39.91384986
Birmingham,11.62267796,42.61184956,57.4355177,37.2864333,62.92054244,70.49095881,47.15324175,81.18528715,23.1289618,51.70775137,25.70705969,62.98411176,73.77922538,40.30848299,36.84117598,7.267549842,93.20508903
Baltimmore,10.25461707,5.852009943,59.2625721,28.34655545,69.7913891,78.34582828,1.141266595,0.082978706,75.82577048,19.22969958,99.73383897,69.76855959,79.30008075,1.236930157,83.99931474,23.11608568,11.41048809
Pittsburgh,44.08687975,60.22405242,70.93585458,20.32782666,80.44886341,94.97335113,58.28075785,13.39112343,89.45087275,84.45411121,45.55025444,85.02076751,40.50608164,89.36912022,96.577832,48.90489545,44.2664448
Kansis City,9.744334141,34.33593958,2.482825607,59.9320792,60.9322104,20.16497631,0.883124377,5.291858646,10.46008225,21.77414613,13.76114885,78.24503142,73.58568971,60.97789424,65.3776409,61.64693908,4.100801556
New Orleans,16.1478928,17.09367274,80.5149252,40.04447151,7.178998275,12.29357907,5.904363837,66.76477617,89.43293476,23.60732751,31.80654721,53.98192156,24.75949357,27.79577035,24.11368101,58.69668034,48.49512022
Cincinnati,69.62457283,99.5397365,69.89489698,97.80051671,94.13985274,49.23175939,45.41325896,5.794419196,91.43285198,65.17814293,5.513459095,69.01883886,39.226861,35.49525222,87.98251457,69.83054962,59.66408616
Louisville,29.31497092,84.43689517,71.87594063,68.01929641,5.41317449,85.99270699,36.75925582,12.91769913,89.99025347,79.67079817,55.61552358,53.71237153,45.12870379,26.90854595,51.07852175,19.30382161,1.797301982
Providence,84.95795633,68.03313352,91.02191624,65.01368069,21.07068091,9.638408848,17.7835621,28.29478138,66.15919267,91.80401535,68.73456356,83.90528095,73.1406485,97.86158439,84.67611428,17.87113141,35.38963387
Detroit,3.760758516,34.41290709,43.46444869,12.95924205,64.47582456,94.65441358,65.75700642,65.22477719,65.99051406,24.93799786,13.70438441,43.30489507,88.17628841,35.15372136,34.14694579,12.33598857,53.15683684
Hartford,75.15260797,69.11822144,31.51403943,77.47004002,99.04018751,36.61480851,69.64041064,31.2657405,43.43478754,58.47079193,22.6943173,10.72657203,2.82715997,11.65847534,77.62868164,66.4624356,29.42613891
Memphis,16.47350763,21.74279662,16.52570308,76.19343656,80.33792407,8.421015425,96.15250174,63.41732504,57.03374117,48.05603684,49.5050442,5.987205955,89.65939699,80.20493654,29.85144562,58.13923315,11.84831245
Clleveland,76.85305108,22.39121109,61.55057298,69.03161865,61.77591646,45.24889205,26.38832144,40.93098844,25.98288964,92.3872019,33.84895571,30.54188383,10.78854575,40.86725877,20.56264168,40.04248754,59.88950885
Virginia Beach,2.631052518,37.48517652,97.62054222,65.25917659,5.176201202,95.83763935,2.697615133,31.26320862,8.953581132,78.45726246,30.53538829,87.41747911,0.016706915,79.70200991,62.4792751,21.27813659,93.02457545
Buffalo,34.54732784,49.93104327,80.38876881,83.71551817,29.00342022,44.11083152,76.4479486,52.18980653,84.68218256,28.73114007,41.00175764,52.40737659,23.79377779,64.34040627,2.656984657,34.92314234,31.42617558
